text,label
你好,greeting
謝謝你,greeting
你真棒,greeting
你好,greeting
嗨,greeting
您好,greeting
早安,greeting
晚安,greeting
哈囉,greeting
感謝你,greeting
謝啦,greeting
很高興認識你,greeting
你太棒了,greeting
房東突然漲房租怎麼辦,legal
押金最多幾個月,legal
水電費怎麼計算,legal
房東不退押金怎麼辦,legal
租約提前終止會有違約金嗎,legal
我可以合法轉租嗎,legal
房東可以臨時漲房租嗎,legal
押金通常是幾個月,legal
水費是怎麼計算的,legal
合約上沒有寫電費怎麼辦,legal
可以要求修水管嗎,legal
租約到期不搬會怎樣,legal
租屋有哪些法律保障,legal
台北捷運站附近，限女生，8500元含陽台,rental_post
找房子：可養貓，桃園，租金預算10000,rental_post
台北租屋，近捷運，月租8000,rental_post
女生限定，套房出租,rental_post
桃園找房，可養寵物,rental_post
新北三重，整層出租，租金15000,rental_post
找租屋：有陽台，電梯大樓,rental_post
出租房間：含水電,rental_post
1213131,other
58589,other
text,label
你好,greeting
嗨嗨,greeting
哈囉～,greeting
晚安啦,greeting
您好啊,greeting
謝謝你幫我,greeting
你真的幫了大忙,greeting
太感謝了,greeting
有你真好,greeting
很開心遇到你,greeting
多謝你的幫忙,greeting
打擾一下,greeting
請多多指教,greeting
感恩喔,greeting
辛苦你了,greeting
房東突然漲房租怎麼辦,legal
押金最多幾個月,legal
水電費怎麼計算,legal
房東不退押金怎麼辦,legal
租約提前終止會有違約金嗎,legal
我可以合法轉租嗎,legal
房東可以臨時漲房租嗎,legal
押金通常是幾個月,legal
水費是怎麼計算的,legal
合約上沒有寫電費怎麼辦,legal
可以要求修水管嗎,legal
租約到期不搬會怎樣,legal
租屋有哪些法律保障,legal
退租之後押金幾天內要退？,legal
房東亂收管理費合法嗎？,legal
租屋一定要報稅嗎？,legal
台北捷運站附近，限女生，8500元含陽台,rental_post
找房子：可養貓，桃園，租金預算10000,rental_post
台北租屋，近捷運，月租8000,rental_post
女生限定，套房出租,rental_post
桃園找房，可養寵物,rental_post
新北三重，整層出租，租金15000,rental_post
找租屋：有陽台，電梯大樓,rental_post
出租房間：含水電,rental_post
板橋套房出租，近捷運，月租9000,rental_post
中壢找房，能養狗，預算13000,rental_post
萬華區，電梯大樓，有管理員，租金10000,rental_post
找房：限女生，近學校，租金8500,rental_post
出租：台中南區雅房，水電另計,rental_post
新店捷運站旁，有陽台，整層出租,rental_post
我在找台南東區套房，預算11000,rental_post
小家庭找房，有廚房，新北優先,rental_post
中山站兩房出租，包水包網路,rental_post
租屋：不限樓層，近公車站，附家具,rental_post
蘆洲整層住家出租，近夜市,rental_post
想找北投附近可以寵物友善的套房,rental_post
南港找房，有冷氣，租金12000以下,rental_post
找房：陽台優先，五樓以下，限女生,rental_post
1213131,other
58589,other
測試看看,other
123456,other
哈哈哈哈哈,other
無聊發問,other
asdfghjk,other
這是一段廢話,other
亂打一通,other
……,other
請問租屋？？？？,other
不知道你在說什麼,other
哈囉你好呀,greeting
您真是太親切了,greeting
感謝大大幫忙,greeting
謝了哥們,greeting
超感謝,greeting
真的很謝謝你,greeting
太感動了,greeting
很高興見到你,greeting
